item_id,item_name,sku,manufacturer,HS_Code
2.8887900000244613e+18,"0,5-1,2 MM QUARTZ SAND","0,5-1,2 MM QUARTZ SAND",VEOLIA,
2.888790000006975e+18,"1,2,3-Benzotriazole, 1 kg",9924.3,Carl Roth,
2.888790000004823e+18,1-Hexadecene,3834.1,Carl Roth,
2.8887900000244613e+18,1.0-3.0 MM QUARTZ SAND,1.0-3.0 MM QUARTZ SAND,VEOLIA,
2.88879000000232e+18,10 mm Adapter,9609900,HACH,9027.0
2.888790000018538e+18,"100FDP-52-8,1T-LH. 8.1 kW 3/400. 16A.",190011324,Franklin Electric,
2.888790000019194e+18,12 VDC power socket,12VDC,,
2.888790000018628e+18,1200-S sc Digital pH sensor for SC controller,LXV426.99.10001,HACH,
2.888790000025273e+18,1750mm Dia Navigation Buoys - With Modifications,1750mm,AMRO,
2.888790000010999e+18,"2,6-Dimethylphenol",TCIAD0776-500G,VWR Avantor®,2907191010
2.888790000004345e+18,2-chamber household refrigerator,1111,,
2.888790000010999e+18,"2-Nitrobenzaldehyde, 100 g",4224.2,Carl Roth,
2.888790000004823e+18,"2-Propanol, 1 l, ROTISOLV® HPLC",7343.2,HACH,
2.8887900000048205e+18,"20 ft HC Container, Painted , air conditioned, insulated",20 ft HC Container,AO Smith,
2.888790000002311e+18,2100Q Portable Turbidimeter,2100QIS01,HACH,
2.888790000004323e+18,2100Q Portable Turbidimeter (EPA),2100Q01,HACH,
2.8887900000244613e+18,3 0-5 0 MM QUARTZ SAND,3 0-5 0 MM QUARTZ SAND1,VEOLIA,
2.88879000001583e+18,3725 sc Digital inductive conductivity sensor,D3725E2T.99,HACH,90278930
2.888790000019252e+18,41-23 Pressure reducing valve,41-23 - DIN,Samson Group,84811019
2.888790000019958e+18,4G/3G/2G Modem DIN Rail RS232 incl. cable,9797018492,OTT HydroMet,
2.8887900000244613e+18,5 0-8 0 MM QUARTZ SAND,5 0-8 0 MM QUARTZ SAND2,VEOLIA,
2.888790000023699e+18,50w Poly Solar Panel Battery Charging Kit Controller Cables & Mounting Brackets,335318970921,Lowenergie,
2.888790000002473e+18,"5500 sc Silica Maintenance Kit, 1 channel",6788301,HACH,
2.888790000021645e+18,"5500sc Silica Analyzer, 6 Channels, Reagents Included",5500.KTO.S0.A6E,HACH,
2.8887900000080947e+18,"8226_01 Titrating burette according to Dr Schilling Automatic, 10 ml",8227.1,Carl Roth,
2.888790000006988e+18,8362 Ultrapure Water pH Sensor,08362=A=0000,HACH,
2.888790000011931e+18,8362sc High Purity Sensors,6178000,HACH,
2.888790000004214e+18,9185 sc Ozone amperometric analyser,LXV433.99.00001,HACH,
2.8887900000182543e+18,"Acc. cable 3 m, GENibus, straight",N/a2,Grundfos,
2.888790000009451e+18,Accessories adapter for centrifuge tubes 15 ml to rotor type 1670 from centrifuge Rotofix 32 A and Universal 320,EC37.1,Carl Roth,
2.888790000009451e+18,Accessories for benchtop centrifuges Rotofix 32 A and Universal 320 8-fold oscillating rotor type 1617 (45°) for centrifuge tubes 50 ml,EC36.1,Carl Roth,
