Item,თარგმანი
 ციფრული მულტიმეტრი,"fluke 17b+ digital multimeter, for electrical applications, measures ac/dc voltage 100v, current measurements to 10a, resistance, continuity, diode, capacitance, frequency, and temperature testing"
AT1000 Series Potentiometric Titrator with 1 Burette - Model AT1102,"ავტომატური ტიტრატორი, შეიცავს:
 AT1102-Titralab AT1000 ტიტრატორი
 LZE144- კვების წყარო.  LZE141- 4 პოზიციის მილის დამჭერი
 LZE185- ელექტროდის შესანახი მილი. გამოყენების ინსტრუქციის წიგნი"
კვების წყარო,"dc15v 3a power supply 15v charger with 11 plug tips ac to dc 15v 500ma 1a 1.5a 2a 2.5a power supply converter transformer for pc display, massage gun, monitor 15v devices power supply"
ჩანთა Fluke-ის ციფრული მულტიმეტრებისთვის,rlsoco carrying case for fluke 117/115/116/114/113/177/178/179/233 digital multimeter and fits for fluke 101/106/107/ f15b+f17b+f18b+ and more (with diy foam) (red zip
"Intellical PHC301 Laboratory General Purposes Refillable pH Electrode, 1 m Cable",PHC301 წყლის ხარისხის ლაბორატორიის შევსებადი pH ელექტროდი- მოყვება სტანდარტული ხვსნარი 3 M KCl (კალიუმის ქლორიდი) ხსნარი გაჯერებული AgCl (ვერცხლის ქლორიდი)
"Set contains ManVer® 2 Indicator, Hardness 1 Buffer Solution and one cartridge each of 0.0800 M and 0.800 M EDTA.","ნაკრები შეიცავს: სიხისტის სტანდარტულ ბუფერს (ხსნარს). სიხისტის ინდიკატორს (ფხვნილის სახით), ედტა სტანდარტულ ხსნარს- ეთილენდიამინტეტრაძმარმჟავა"
" Set contains: Buffer Solution (Hardness 1), ManVer® 2 Hardness Indicator Powder Pillows and 0.800 M EDTA Digital Titrator Cartridge for 40 - 100 tests","ნაკრები შეიცავს: სიხისტის სტანდარტულ ბუფერს (ხსნარს). სიხისტის ინდიკატორს (ფხვნილის სახით), ედტა სტანდარტულ ხსნარს- ეთილენდიამინტეტრაძმარმჟავა"
"DB9 RS232 ადაპტერი (Male+Female, კორპუსით და ჭანჭიკებით)",db9 solderless rs232 d-sub serial to 9-pin port terminal male adapter connector breakout board with case long bolts tail pipe (male+female)
კონცენტრული რედუქტორი,"concentric reducer sch 10s 316/l stainless steel - 1"" x 1/2"" nb sch10s concentric reducer butt weld 316l welded stainless steel"
სიგნალის კონვერტორები,"messumformer 4-20ma to 0-10v converter, transmitter 4-20ma plc detect conditioner dc 24v current isolator (one in one out)"
"Intellical PHC281 Water Quality Laboratory Refillable pH Electrode, 1 m Cable",PHC281 წყლის ხარისხის ლაბორატორიის შევსებადი pH ელექტროდი- მოყვება სტანდარტული ხვსნარი KCl (კალიუმის ქლორიდი) 2.44 M
90° Profibus DP კონექტორი – პორტის გარეშე,viagasafamido profibus connector 90° programming cable interface connector dp connector (without programming port)
მაგნიტური სამაგრი ნაკრები,"hanging loop strap magnet hanger kit for fluke instruments multimeter 1 straps, 1 clips and magnetic hanger bobii"
მრავალელემენტიანი სტანდარტული ხსნარი,"multi-element icp-ms standard solution cr-05, 100 mlroti®star 9 elements in 1 % hno3, concentration in mg/l"
უჟანგავი ფოლადის კონცენტრული რედუქტორი,"stainless steel seamless concentric reducer dn50 60,3 x 4 mm / dn25 33,7 x 3,2 mm in grade 1.4571 / 316ti"
მყარე ხელსაბანი ჩანთა ,hard tool carrying case for fluke 323/324/325/303/305 clamp multimeter fc true rms meters(case only)
 რაოდენობრივი ფილტრის ქაღალდი,"whatman 10312209 quantitative filter paper, 8-10 micron, grade 598, 90mm diameter (pack of 100)"
STM32F401 ბორდი Micropython-ის მხარდაჭერით,stm 32 f 401 rct 6/stm 32 f 401 ccu 6 core board system board development board micropython
კალიუმის პერმანგანატის ხსნარი,"potassium permanganate solutionroti®volum 0,02 mol/l - 0,1 n, volumetric standard solution"
პიპეტის თავაკები,"pipette tips mμlti® universal 100–1000 μl, standard, bag, 1000 unit(s), non-sterile, blue"
უჟანგავი ფოლადის შედუღების კისრის ფლანგა,stainless steel forged weld neck flange dn50 60.3 mm pn10/16 (en1092-1/11b1) 1.4541 / 321
vne148607d00000100000000010000,OPTISONIC 6000                                                (V2) Portable  DN50-DN1500
ერთარხიანი მიკროლიტრიანი პიპეტი,"single-channel microlitre pipette proline® plus variable, 0.5 to 10 µl from sartorius"
"Sension+ pH Probes for Laboratory Meters, with BNC Connector and Temperature Compensation","ზონდები ლაბორატორიული მრიცხველებისთვის, BNC კონექტორით და ტემპერატურის კომპენსირებით"
"accessories racks, chrome-plated for solid.line incubators and drying ovens, suitable for: for bd-s 056/ed-s 056/fd-s 056","აქსესუარების თაროები, ქრომირებული Solid.Line ინკუბატორებისა და საშრობი ღუმელებისთვის"
"HQ4300 Portable Multi-Meter with Gel pH, Conductivity, and Dissolved Oxygen Electrode, 1 m Cables",პორტატული მულტიმტრი ელექტროდებით:  pH. გახსნილი ჟანგბადი წყალში და გამტარობა წყლის.
"Anionic Surfactants, cuvette test 0.05-2.0 mg/L, 25 tests",წყალში ანიონური ზედაპირულად აქტიური ნივთიერებების შემცველობის განმსაზღვრელი ტესტი
"Cationic surfactants cuvette test 0.2-2.0 mg/L, 25 tests","კათიონური ზედაპირულად აქტიური ნივთიერებების კუვეტის ტესტი 0.2-2.0 მგ/ლ, 25 ტესტი"
ოქსილის მჟავას ხსნარი,"oxalic acid solutionroti®volum 0,05 mol/l - 0,1 n, volumetric standard solution"
"Intellical MTC101 Laboratory Low Maintenance Gel Filled ORP/RedOx Electrode, 1 m Cable","ლაბორატორიული, დაბალი მოვლის, გელის შევსებული ORP/რედოქს ელექტროდი, 1 მ კაბელი"
უსადენო TROLL კომუნიკატორი,"wireless troll com for ios, android, and pc (twist lock/cable connect version)"
დინატრიუმის მარილის ხსნარი,"edta disodium salt solution roti®volum 0,1 mol/l - 0,1 n, volumetric standard"
BOD Direct Plus,ირდაპირი მეთოდით BOD (ბიოქიმიური ჟანგბადის მოთხოვნილების) გაზომვის სისტემა.
სასწორი შიდა კალიბრაციით,"precision balances eg series, internal calibration, 2200 g, 0,01 gfrom kern"
"Natural Water Standard Solution, 30 ppm Total Dissolved Solids (TDS), 500 mL",ნატურალური წყლის სტანდარტული ხსნარი. წყალში შეწონილი ნაწილაკების სტანდარტი
დარიშხანის სტანდარტული ხსნარი,"arsenic icp standard solution, 100 mlroti®star 1 000 mg/l as, in 2 % hno3"
"Intellical LDO101 Laboratory Luminescent/Optical Dissolved Oxygen (DO) Sensor, 1 m Cable",ინტელექტუალური  ლაბორატორიული ლუმინესცენტური/ოპტიკური გახსნილი ჟანგბადის
ტემპერატურის საზომი ზოლები შეუქცევადია,"temperature measuring strips irreversible, 77-82-88-93-99-104-110-116 °c"
"Intellical LDO101 Field Luminescent/Optical Dissolved Oxygen (DO) Sensor, 5 m Cable",ინტელექტუალური ველის ლუმინესცენტური ოპტიკური გახსნილი ჟანგბადის სენსორი
პიპეტკის თავსაკრავები,"pipette tips makro 0.5–
5 ml suitable for roth,
brand, bag, non-sterile"
"COD cuvette test - ISO 15705, 0-150 mg/L O₂",ოქსიდატიური ორგანული ნივთიერებების რაოდენობის განსაზღვრის კუვეტის ტესტი
optisys tur 1060,"წყლის სიმღვრივის მზომი ელექტრონული ინსტრუმენტი, კედელზე დასამონტაჟებელი"
კლამპ მულტიმეტრი,"fluke-301d/esp, 600a ac/dc clamp meter with slim body and thin jaw arm"
"drying cabinet solid.line models: ed-s with natural air circulation, 62 l, ed-s 056",საშრობი კარადა Solid.Line მოდელები: ED-S ბუნებრივი ჰაერის ცირკულაციით
"HQ440D Laboratory Dual Input, Multi-Parameter Meter - pH, Conductivity, Optical Dissolved Oxygen, ORP, and ISE with Electrode Stand","HQ440D ლაბორატორიული ორმაგი შეყვანის, მრავალპარამეტრიანი მეტრი - pH,"
საწვეთური ბოთლი პიპეტით ყავისფერი შუშით,"dropper bottle with pipette brown glass, 50 mlfrom dwk life sciences"
sng49pa0000b1010000000010ga000,UFC 300                                                (V2) PORTABLE
mac 100 converter," წყლის სიმღვრივის მზომი სენსორის კონტროლერი, ელექტრონული მოწყობილობა"
"COD cuvette test, Mercury free, 0-1000 mg/L O₂, 25 tests",წყალში ჟანგბადის ქიმიური მოხმარების შემცველობის განმსაზღვრელი ტესტი
ტერმინალის ბლოკი,"simatic s7-1200, communication board cb 1241, rs485, terminal block"
